Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Method,File,Status,Success Level,Currency,Unit,Language,company,year,total_assets,total_liabilities,revenue,net_profit,success_level,method,file
Airstarbank,2021.0,3227586.0,2266139.0,,-244255.0,regex+table,Airstarbank_2021_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Airstarbank,2021.0,3464490.0,2390450.0,,-123375.0,regex+table,Airstarbank_2021_Q1_Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Airstarbank,2021.0,3464490.0,2390450.0,,-123375.0,regex+table,Airstarbank_2021_Q1、Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Airstarbank,2022.0,2857826.0,1996911.0,,-97755.0,regex+table,Airstarbank_2022_Q1_Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Airstarbank,2022.0,2857826.0,1996911.0,,-97755.0,regex+table,Airstarbank_2022_Q1、Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Airstarbank,2023.0,2325593.0,1768056.0,,-208263.0,regex+table,Airstarbank_2023_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Airstarbank,2024.0,2707842.0,1836897.0,,-131230.0,regex+table,Airstarbank_2024_Q1_Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Airstarbank,2024.0,2707842.0,1836897.0,,-131230.0,regex+table,Airstarbank_2024_Q1、Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Aprila,2018.0,133500.0,5999.0,,0.0,regex+table,Aprila_Bank_2018_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Aprila,2018.0,144269.0,2715.0,,,regex+table,Aprila_Bank_2018_Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2018.0,138591.0,4174.0,,,regex+table,Aprila_Bank_2018_Q3.pdf,Success,Partial(2/4),,,,,,,,,,,,
Aprila,2018.0,133.0,5.0,,,regex+table,Aprila_Bank_2018_Q4.pdf,Success,Partial(2/4),,,,,,,,,,,,
